,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,San Patricio,38,PY,1566779168,56,-26.98,-56.83,70.28,7.85
1,Jamestown,0,AU,1566779166,65,-33.21,138.6,48.32,3.91
2,Qianguo,100,CN,1566779343,83,45.12,124.86,68.84,11.83
3,Saint-Pierre,0,FR,1566779343,68,48.95,4.24,66.2,4.7
4,Hambantota,90,LK,1566779212,100,6.12,81.12,75.2,3.36
5,Rikitea,51,PF,1566779187,62,-23.12,-134.97,69.56,11.14
6,Kloulklubed,75,PW,1566779343,88,7.04,134.26,77.0,14.99
7,Arraial do Cabo,88,BR,1566779344,69,-22.97,-42.02,68.3,6.6
8,Ust-Tarka,15,RU,1566779344,70,55.56,75.71,52.64,8.3
9,Bethel,90,US,1566779344,62,60.79,-161.76,55.4,5.82
10,Saint-Joseph,0,FR,1566779344,73,43.56,6.97,77.0,3.36
11,Nakama,75,JP,1566779344,73,33.82,130.71,75.2,3.36
12,Ribeira Grande,71,PT,1566779204,84,38.52,-28.7,70.64,7.11
13,Zhigansk,0,RU,1566779345,53,66.77,123.37,62.0,2.84
14,Upernavik,97,GL,1566779217,82,72.79,-56.15,42.56,1.3
15,Carnarvon,2,ZA,1566779345,28,-30.97,22.13,49.4,5.46
16,Bredasdorp,66,ZA,1566779169,76,-34.53,20.04,55.4,6.93
17,Hithadhoo,100,MV,1566779157,74,-0.6,73.08,81.98,9.15
18,Lebu,75,ET,1566779174,93,8.96,38.73,57.2,6.93
19,Puerto Leguizamo,98,CO,1566779345,82,-0.19,-74.78,75.32,1.5
20,Hilo,75,US,1566779346,55,19.71,-155.08,87.8,9.17
21,Kapit,98,MY,1566779346,95,2.02,112.94,74.78,2.1
22,Alofi,97,NU,1566779244,73,-19.06,-169.92,75.2,19.46
23,Puerto Carreno,20,CO,1566779324,74,6.19,-67.49,84.2,2.17
24,Codrington,40,AU,1566779346,60,-28.95,153.24,69.8,8.05
25,Port Alfred,40,ZA,1566779154,89,-33.59,26.89,62.01,1.99
26,Hobart,20,AU,1566779183,54,-42.88,147.33,55.0,12.75
27,Inhambane,0,MZ,1566779347,94,-23.87,35.38,60.92,5.17
28,Nara,20,JP,1566779347,65,34.68,135.8,82.0,2.24
29,Jijiga,49,ET,1566779347,88,9.35,42.8,58.58,15.12
30,Zaigrayevo,90,RU,1566779347,76,51.83,108.27,57.2,8.95
31,Punta Arenas,20,CL,1566779347,75,-53.16,-70.91,42.8,11.41
32,Kemin,0,KG,1566779347,37,42.79,75.7,59.84,5.12
33,Katsuura,75,JP,1566779348,78,33.93,134.5,80.01,4.7
34,Busselton,0,AU,1566779348,55,-33.64,115.35,53.01,11.03
35,Mogadishu,98,SO,1566779348,85,2.04,45.34,75.14,13.78
36,Severo-Kurilsk,100,RU,1566779348,96,50.68,156.12,47.96,19.89
37,Seondha,75,IN,1566779348,94,26.15,78.78,78.8,4.7
38,Chernushka,74,RU,1566779349,91,56.5,56.08,49.04,15.39
39,Belozerskoye,100,RU,1566779349,78,55.82,65.58,56.42,7.74
40,Santa Marta,40,CO,1566779349,70,11.24,-74.21,86.0,5.82
41,Bukama,2,CD,1566779349,44,-9.2,25.85,70.1,2.26
42,Callaguip,20,PH,1566779349,83,18.07,120.49,82.4,4.7
43,Shirokiy,22,RU,1566779350,87,53.87,39.17,44.01,4.07
44,Ciudad Bolivar,0,VE,1566779350,72,8.12,-63.55,80.54,6.53
45,Bluff,0,AU,1566779350,53,-23.58,149.07,70.1,1.86
46,Borogontsy,21,RU,1566779350,62,62.67,131.17,61.82,3.89
47,Hermanus,100,ZA,1566779350,99,-34.42,19.24,54.0,1.01
48,Ponta Delgada,75,PT,1566779350,94,37.73,-25.67,71.01,6.93
49,Mingaora,15,PK,1566779351,80,34.78,72.36,63.62,4.7
50,Belmonte,69,PT,1566779351,69,40.36,-7.35,73.99,2.98
51,Langsa,100,ID,1566779351,84,4.47,97.97,66.5,3.18
52,Laguna,40,BZ,1566779240,79,16.17,-88.94,84.2,4.7
53,Mahebourg,40,MU,1566779155,68,-20.41,57.7,69.8,10.29
54,Atuona,0,PF,1566779351,69,-9.8,-139.03,78.92,15.97
55,Saint-Philippe,1,CA,1566779352,64,45.36,-73.48,73.0,2.24
56,Mataura,77,NZ,1566779352,72,-46.19,168.86,48.99,15.99
57,Jumla,99,NP,1566779352,92,29.28,82.18,50.12,3.42
58,Novikovo,0,RU,1566779352,86,51.15,37.89,56.06,7.36
59,Bandarbeyla,27,SO,1566779225,62,9.49,50.81,78.02,26.96
60,Butaritari,81,KI,1566779352,74,3.07,172.79,84.86,13.62
61,Geraldton,75,CA,1566779353,55,49.72,-86.95,66.2,14.99
62,East London,5,ZA,1566779353,86,-33.02,27.91,54.44,6.08
63,Haines Junction,65,CA,1566779353,47,60.75,-137.51,53.54,7.72
64,Avarua,55,CK,1566779353,78,-21.21,-159.78,77.0,6.93
65,Ushuaia,40,AR,1566779353,60,-54.81,-68.31,42.8,12.75
66,Sobolevo,48,RU,1566779353,88,54.43,31.9,53.36,4.32
67,Kieta,79,PG,1566779190,88,-6.22,155.63,78.02,9.15
68,Yakeshi,100,CN,1566779354,98,49.28,120.73,53.9,5.73
69,Komsomolskiy,100,RU,1566779354,74,67.55,63.78,42.38,2.84
70,Barrow,100,AR,1566779354,83,-38.31,-60.23,54.26,4.85
71,Georgetown,40,GY,1566779150,78,6.8,-58.16,82.4,6.93
72,Carutapera,2,BR,1566779108,82,-1.2,-46.02,77.84,7.07
73,Nagtipunan,10,PH,1566779354,85,16.22,121.6,79.1,1.92
74,Comodoro Rivadavia,0,AR,1566779354,61,-45.87,-67.48,48.2,16.11
75,Gorontalo,100,ID,1566779355,71,0.54,123.06,78.92,0.72
76,Kodiak,90,US,1566779355,93,39.95,-94.76,68.0,12.75
77,Tambo,0,PE,1566779355,70,-12.95,-74.02,71.6,5.82
78,Paamiut,0,GL,1566779264,77,61.99,-49.67,43.1,30.76
79,Savannah Bight,0,HN,1566779355,80,16.45,-85.85,83.78,22.5
80,Alyangula,0,AU,1566779356,69,-13.85,136.42,77.0,6.93
81,Shimoda,75,JP,1566779356,83,34.7,138.93,80.6,14.99
82,Flinders,90,AU,1566779356,100,-34.58,150.85,57.0,8.05
83,Norman Wells,75,CA,1566779356,39,65.28,-126.83,64.4,3.36
84,Torbay,20,CA,1566779188,67,47.66,-52.73,57.2,13.87
